url_length,uses_ip,num_dots,protocol,num_subdomains,domain_age_days,dns_valid,whois_info_exists,has_iframe,has_obfuscated_js,label
32,0,1,1,0,-1,1,0,0,0,0
46,0,1,0,0,-1,0,0,-1,-1,1
51,0,3,1,1,-1,1,0,0,0,0
29,0,2,0,1,-1,0,0,-1,-1,1
51,0,2,1,1,-1,1,0,-1,-1,1
68,0,2,1,1,-1,1,0,0,0,0
204,0,2,1,1,-1,1,0,0,0,1
65,0,2,1,1,-1,0,0,0,0,0
47,0,1,1,0,-1,1,0,1,0,0
61,0,2,1,1,-1,1,0,0,0,0
82,0,3,0,1,-1,1,0,0,0,0
37,0,3,1,1,-1,1,1,0,0,1
47,0,3,1,1,-1,1,0,-1,-1,1
34,0,2,0,1,-1,1,0,0,0,1
65,0,2,1,0,-1,1,0,1,0,1
66,0,2,0,0,-1,1,0,1,0,1
103,0,3,1,1,-1,1,0,-1,-1,1
47,0,2,0,1,-1,1,0,0,0,1
52,0,3,0,1,-1,1,0,0,0,1
38,0,2,1,1,-1,1,0,-1,-1,1
129,0,5,1,3,-1,0,0,0,0,1
57,0,5,0,3,-1,1,0,-1,-1,1
342,0,5,1,1,-1,1,0,0,0,1
44,0,3,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
32,0,2,1,1,-1,1,0,1,0,1
64,0,2,1,1,-1,1,0,0,0,0
40,0,2,0,1,-1,0,0,-1,-1,1
69,1,3,0,0,-1,0,0,-1,-1,1
72,0,2,1,1,-1,1,0,0,0,0
44,0,3,1,1,-1,1,0,0,0,0
360,0,4,0,2,-1,0,0,-1,-1,1
26,0,2,0,0,-1,1,0,-1,-1,0
21,0,2,0,1,-1,1,0,0,0,1
43,0,3,0,1,-1,1,0,0,0,0
47,0,2,0,1,-1,1,0,-1,-1,1
36,0,2,1,1,-1,1,0,1,0,0
27,0,2,0,0,-1,1,0,-1,-1,0
109,0,2,1,1,-1,1,0,-1,-1,1
31,0,2,1,1,-1,1,0,-1,-1,1
32,0,2,1,1,-1,1,0,0,0,0
67,0,2,1,1,-1,1,0,0,0,0
64,0,1,1,0,-1,1,0,0,0,0
35,0,2,1,0,-1,1,0,-1,-1,0
68,0,2,1,1,-1,1,0,0,1,0
31,0,1,0,0,-1,1,0,-1,-1,1
62,0,2,1,1,-1,1,0,0,0,0
39,0,1,1,0,-1,1,0,-1,-1,0
34,0,3,0,1,-1,1,0,0,0,1
33,0,1,1,0,-1,1,0,0,0,0
120,0,2,1,1,-1,1,0,0,0,0
57,0,3,1,1,-1,1,0,0,0,1
40,0,1,1,0,-1,1,0,1,0,0
64,0,2,1,1,-1,1,0,0,0,0
26,0,2,0,1,-1,1,0,0,0,1
37,0,2,1,1,-1,1,0,0,0,0
29,0,2,1,1,-1,1,0,0,0,1
214,0,1,1,0,-1,1,0,0,0,0
51,0,2,1,1,-1,1,0,0,0,0
83,0,2,1,1,-1,1,0,0,0,0
32,0,1,1,0,-1,1,0,0,0,0
41,0,3,0,1,-1,1,1,-1,-1,1
55,0,2,1,1,-1,1,0,0,0,0
40,0,2,1,0,-1,1,0,0,0,0
31,0,1,0,0,-1,1,0,0,0,1
68,0,3,0,1,-1,1,0,0,0,1
68,0,2,0,0,-1,0,0,-1,-1,1
51,0,5,0,3,-1,1,0,-1,-1,1
56,0,2,0,1,-1,1,0,0,0,1
28,0,2,1,1,-1,1,0,0,0,1
37,0,1,1,0,-1,1,0,0,0,1
47,0,2,0,1,-1,1,0,0,1,1
82,0,2,0,1,-1,0,0,0,0,0
30,0,1,0,0,-1,1,0,0,0,0
23,0,2,0,1,-1,1,0,0,0,1
112,0,2,1,1,-1,1,0,0,0,1
96,0,2,0,0,-1,1,0,0,0,1
118,0,3,1,0,-1,1,0,1,0,1
44,0,3,0,2,-1,0,0,-1,-1,1
44,0,3,1,1,-1,1,0,0,0,0
50,0,3,0,1,-1,1,0,0,0,1
79,0,2,0,1,-1,1,0,-1,-1,1
